ensgene,logFC,logCPM,PValue,FDR
ENSG00000000003,-0.3595405,5.087425722,0.064063396,0.725642009
ENSG00000000005,0,-3.498356614,1,1
ENSG00000000419,0.197633107,4.565489319,0.211455609,1
ENSG00000000457,0.015611762,3.879651672,0.939060534,1
ENSG00000000460,-0.153013418,2.020703357,0.629991358,1
ENSG00000000938,-2.726017785,-3.255584748,0.291263805,1
ENSG00000000971,0.450234129,8.029078199,0.06596627,0.737077342
ENSG00000001036,-0.23681513,6.523218512,0.127662243,1
ENSG00000001084,-0.261415291,4.890956129,0.241710206,1
ENSG00000001167,-0.542953874,4.231872921,0.029092898,0.458355291
ENSG00000001460,-0.129538386,3.205339401,0.553616329,1
ENSG00000001461,-0.008045771,7.050248155,0.979594613,1
ENSG00000001497,-0.066553857,4.618411666,0.681655837,1
ENSG00000001561,0.276948627,2.409038726,0.726058821,1
ENSG00000001617,-0.201457966,4.781855119,0.36613554,1
ENSG00000001626,-0.305753712,-0.937498161,0.651273777,1
ENSG00000001629,-0.255263205,6.374719901,0.213059691,1
ENSG00000001630,-0.187812511,5.476837822,0.244591934,1
ENSG00000001631,-0.080784307,5.270221558,0.657308563,1
ENSG00000002016,-0.42048926,3.223912006,0.113135073,0.975859598
ENSG00000002079,0.9870337,-2.214186693,0.583060745,1
ENSG00000002330,0.000220992,4.969302167,1,1
ENSG00000002549,0.155540781,5.804201148,0.43245795,1
ENSG00000002586,0.070427177,8.568497011,0.655760885,1
ENSG00000002587,0.430096311,-2.497910766,0.821175393,1
ENSG00000002726,0.693755943,-2.683193702,0.588009071,1
ENSG00000002745,-0.624658018,-1.271534184,0.570907715,1
ENSG00000002746,0.184978531,2.535586207,0.587848572,1
ENSG00000002822,-0.069168715,4.002305533,0.713833988,1
ENSG00000002834,0.407992145,8.608994668,0.004632018,0.125688147
ENSG00000002919,0.334751718,3.521747881,0.088549738,0.864801501
ENSG00000002933,0.39400354,4.635241319,0.751905312,1
ENSG00000003056,-0.016029161,6.382763181,0.911951726,1
ENSG00000003096,-0.972745167,4.239652706,8.82669194957506e-06,0.000774467
ENSG00000003137,-1.037824963,2.297032719,0.102852071,0.930067315
ENSG00000003147,0.248541703,-0.972350048,0.624742644,1
ENSG00000003249,-0.377101543,2.493591147,0.335251237,1
ENSG00000003393,0.045756976,5.290497561,0.81695226,1
ENSG00000003400,-0.183912889,2.13625518,0.657756563,1
ENSG00000003402,1.153325493,7.25453881,1.25802098984722e-13,7.05476292480412e-11
ENSG00000003436,-0.334638174,7.842048646,0.114975116,0.98366516
ENSG00000003509,-0.108425566,3.789689005,0.553784571,1
ENSG00000003756,-0.193260514,7.069234004,0.143821126,1
ENSG00000003987,0.74450745,0.536194247,0.048909316,0.620948426
ENSG00000003989,0.575745928,0.926837653,0.460435923,1
ENSG00000004059,0.370493535,6.256307018,0.013305265,0.267168617
ENSG00000004139,-0.089661613,3.834384541,0.702006202,1
ENSG00000004142,0.143169966,6.059246053,0.372114378,1
ENSG00000004399,-0.060828287,7.377020617,0.789800565,1
ENSG00000004455,-0.101083154,5.812988943,0.589553206,1
ENSG00000004468,0.242487265,-1.533659745,0.845110077,1
ENSG00000004478,-0.011932892,4.801015962,0.95419987,1
ENSG00000004487,-0.342061261,5.834933988,0.018700926,0.339884283
ENSG00000004534,-0.312441335,5.891826102,0.09081995,0.873958501
ENSG00000004660,-0.651997447,1.890109072,0.113896287,0.979138619
ENSG00000004700,0.400211034,6.099272679,0.009628627,0.213066637
ENSG00000004766,-0.122012782,4.495165802,0.486913406,1
ENSG00000004776,-0.163069593,9.149452474,0.522787027,1
ENSG00000004777,-0.479058524,2.267739056,0.284767964,1
ENSG00000004779,0.101091312,4.06250892,0.581992469,1
ENSG00000004799,2.552724605,5.403553891,0.002055997,0.067648592
ENSG00000004809,-0.052435833,-2.736331672,1,1
ENSG00000004838,-0.927069099,-0.259844412,0.018451921,0.336464955
ENSG00000004846,-1.58971201,0.134963826,0.019482362,0.346438651
ENSG00000004848,1.647184576,-3.408332642,1,1
ENSG00000004864,0.047998728,2.80608308,0.884197476,1
ENSG00000004866,-0.623699956,4.578146102,0.007922223,0.186802249
ENSG00000004897,-0.171037201,6.253629301,0.231445388,1
ENSG00000004939,-0.600041932,-1.029542686,0.200997722,1
ENSG00000004948,0,-3.498356614,1,1
ENSG00000004961,-0.17455671,4.312669634,0.340777211,1
ENSG00000004975,-0.35576583,5.511061907,0.057161615,0.679094728
ENSG00000005001,0,-3.498356614,1,1
ENSG00000005007,0.211860584,6.697126186,0.125581042,1
ENSG00000005020,0.064275994,5.096916238,0.72408532,1
ENSG00000005022,-0.086119674,5.88461793,0.579281756,1
ENSG00000005059,0.215363989,3.300759176,0.448685366,1
ENSG00000005073,-1.16423138,-3.184081144,0.663195976,1
ENSG00000005075,0.089358497,4.80600624,0.644860211,1
ENSG00000005100,0.304845603,4.515000868,0.079200141,0.817000867
ENSG00000005102,-3.094858621,-3.180931579,0.167286415,1
ENSG00000005108,0.916750742,-0.615043281,0.137713176,1
ENSG00000005156,-0.394737166,3.699993216,0.094079459,0.89327351
ENSG00000005175,-0.208303646,3.986934644,0.496261009,1
ENSG00000005187,-0.332554679,0.374144422,0.466698584,1
ENSG00000005189,-0.443859476,1.874898054,0.172493446,1
ENSG00000005194,0.118212977,4.385686769,0.546504827,1
ENSG00000005206,0.090785344,4.966704849,0.612275693,1
ENSG00000005238,-0.215065241,5.005069492,0.18276442,1
ENSG00000005243,-0.115150521,5.497346067,0.577661784,1
ENSG00000005249,0.651805957,3.77921936,0.009685041,0.213470429
